animeTitle	b'Yume-iro P\xc3\xa2tissi\xc3\xa8re'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	7.84
animeUsers	32935
animeRank	
animePopularity	
animeDescription	"b'Aside from her deep passion for eating cakes, the clumsy Ichigo Amano has never been successful at anything.  After an encounter with Henri Lucas, a famous patissier, Ichigo\'s amazing tasting abilities\xe2\x80\x94although unbeknownst to her\xe2\x80\x94are discovered.  Recognizing her talent, Henri offers her the chance to attend St. Marie Academy, a prestigious culinary school which specializes in desserts.\n\nIn spite of the fact that she is a beginner lacking skills, thanks to Henri\'s recommendation, Ichigo is placed in the topmost group with the ""Sweets Princes."" The princes, famous throughout the school for their magical treats, are Sennosuke Andou, an expert in traditional Japanese sweets; Satsuki Hanabusa, with a flair for candied flowers; and Makoto Kashino, a gifted chocolatier. Ichigo and the Sweets Princes, each accompanied by their ""Sweets Spirits""\xe2\x80\x94fairies who make patissiers\' dreams come true\xe2\x80\x94all work towards their goals in the competitive world of sweets.\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Yume-iro P\xc3\xa2tissi\xc3\xa8re', b'Yume-iro P\xc3\xa2tissi\xc3\xa8re: Mune Kyun Tropical Island!', b'Yume-iro P\xc3\xa2tissi\xc3\xa8re SP Professional']
animeCharacters	[b'Kashino, Makoto', b'Amano, Ichigo', b'Hanabusa, Satsuki', b'Vanilla', b'Caramel', b'Andou, Sennosuke', b'Chocolat', b'Caf\xc3\xa9', b'Koshiro, Miya', b'Lucas, Henri']
animeVoices	[b'\nOkamoto, Nobuhiko\nJapanese\n', b'\nYuuki, Aoi\nJapanese\n', b'\nYonaga, Tsubasa\nJapanese\n', b'\nTaketatsu, Ayana\nJapanese\n', b'\nIino, Mayu\nJapanese\n', b'\nHamazoe, Shinya\nJapanese\n', b'\nYamaoka, Yuri\nJapanese\n', b'\nMisawa, Sachika\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nSuzuki, Iku\n\nDirector, Episode Director, Storyboard\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nYoshida, Shunji\n\nEpisode Director\n\n', b'\nWatanabe, Odahiro\n\nEpisode Director\n\n']
