animeTitle	Doctor Chichibuyama
animeType	TV
animeNumEpisode	2
releaseDate	1988-04-03 00:00:00
endDate	1988-07-31 00:00:00
animeNumMembers	
animeScore	5.72
animeUsers	110
animeRank	
animePopularity	12641
animeDescription	"Based on the manga by Tanaka Keiichi.

Dr. Chichibuyama is the perverse head of a hospital way out in the mountains and terrorises patients with the help of his lover and a sexy young nurse.

(Source: AniDB)"
animeRelated	[]
animeCharacters	['Dr. Chichibuyama', 'Koshigaya, Professor']
animeVoices	['Kamiya, Akira', 'Tomita, Kousei']
animeStaff	[['Amino, Tetsuro', 'Director'], ['Shiba, Shigeharu', 'Sound Director'], ['Dvořák, Antonín', 'Music'], ['Matsumiya, Masazumi', 'Art Director']]
