animeTitle	Choujigen Game Neptune: Hi☆Light
animeType	Special
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.65
animeUsers	364
animeRank	
animePopularity	8515
animeDescription	Compilation of Choujigen Game Neptune The Animation.
animeRelated	['Choujigen Game Neptune: Megami Tsuushin', 'Choujigen Game Neptune: High School', 'Choujigen Game Neptune: The Animation', 'Choujigen Game Neptune: The Animation - Hello New World', 'Choujigen Game Neptune', 'Choujigen Game Neptune The Animation']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
