animeTitle	Nanatsuko Nezumi Series
animeType	OVA
animeNumEpisode	3
releaseDate	1994-10-21 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17274
animeDescription	Seven mouse children and their normal lives. Episode 1 follows mother mouse's struggle to keep her children happy by playing ressha gokko only for them to run into danger with a snake. Episode 2 follows father mouse as receives a letter from a friend asking to help out in the forest, the whole family decides to go but the children tire easily from the activities. Episode 3 is set in winter, the children help their mother with her errands.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
