animeTitle	Kyoukaisenjou no Horizon II
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.52
animeUsers	33533
animeRank	
animePopularity	1942
animeDescription	"Taking advantage of the opportunity that the Mikawa Conflict provides, Tori and his comrades attempt to rescue Horizon from the Testament Union. But even as the Floating City Musashi speeds towards its next destination, the Floating Island England, Tres España is preparing its own armada for war against the British Islanders. Now, as the quest of Horizon's emotions builds to its climax, Tori's new battle is about to begin in the land ruled by the Fairy Queen! The reenactment of the history described in the mysterious Testament continues as the secret of the Armor of Deadly Sins is unleashed in the spectacular second season of Horizon in the Middle of Nowhere! 

(Source: Sentai Filmworks) "
animeRelated	['Kyoukaisenjou no Horizon', 'Kyoukaisenjou no Horizon: Kyokutou Naruhodo Kouza', 'Kyoukaisenjou no Horizon Special']
animeCharacters	['Aoi, Toori', 'Ariadust, Horizon', 'Crossunite, Tenzou', 'Honda, Masazumi', 'Stuart, Mary', 'Aoi, Kimi', 'Mitotsudaira, Nate', 'Asama, Tomo', 'Honda, Futayo', 'Mukai, Suzu']
animeVoices	['Fukuyama, Jun', 'Chihara, Minori', 'Ono, Daisuke', 'Sawashiro, Miyuki', 'Horie, Yui', 'Saitou, Chiwa', 'Inoue, Marina', 'Koshimizu, Ami', 'Kobayashi, Yuu', 'Yuuki, Aoi']
animeStaff	[['Matsuura, Hiroaki', 'Producer'], ['Ono, Manabu', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Takuno, Seiki', 'Episode Director, Storyboard, Assistant Director']]
