animeTitle	Onigamiden
animeType	Movie
animeNumEpisode	1
releaseDate	2011-04-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	5110
animeRank	
animePopularity	4845
animeDescription	A 15-year-old boy travels back in time—over 1,200 years ago to the Heian period—and faces a war between oni (demons) and humans in the former Japanese capital of Kyoto.
animeRelated	[]
animeCharacters	['Minamotono, Raikou', 'Tendou, Jun', 'Mizuha', 'Amanojaku']
animeVoices	['Kondou, Takashi', 'Ono, Kensho', 'Ishihara, Satomi', 'Aigase, Ryuji']
animeStaff	[['Kawasaki, Hirotsugu', 'Director, Storyboard, Screenplay'], ['Arakawa, Naruhisa', 'Script'], ['Fukuhara, Miho', 'Theme Song Performance'], ['Yamashita, Hiroyuki', 'Key Animation']]
