animeTitle	b'Utawarerumono OVA Picture Drama'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.4
animeUsers	1709
animeRank	
animePopularity	
animeDescription	b'Bonus specials released together with the OVA.'
animeRelated	[b'Utawarerumono OVA']
animeCharacters	[b'Hakuoro', b'Urtori', b'Karura', b'Touka', b'Eruruu', b'Aruruu', b'Kamyu', b'Yuzuha']
animeVoices	[b'\nKoyama, Rikiya\nJapanese\n', b'\nOhara, Sayaka\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n', b'\nMiyake, Kaya\nJapanese\n', b'\nYuzuki, Ryouka\nJapanese\n', b'\nSawashiro, Miyuki\nJapanese\n', b'\nKugimiya, Rie\nJapanese\n', b'\nNakahara, Mai\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwasa, Gaku\n\nProducer\n\n', b'\nChung, Jin Ho\n\nProducer\n\n', b'\nAquaplus\n\nOriginal Creator\n\n', b'\nJones, Kyle\n\nADR Director\n\n']
