animeTitle	b'Neko no Robu'
animeType	b'TV'
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The series stars a cat with a lack of energy who speaks while lying down, yet has a thorough personality.  He thinks various things and has fun watching humans.'
animeRelated	[]
animeCharacters	[b'Robu']
animeVoices	[b'\nNanjou, Yoshino\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOnaka, Takeshi\n\nDirector, Character Design\n\n', b'\nKashimura, Satoshi\n\nSound Director\n\n']
