animeTitle	Shuang Yue Zhi Cheng
animeType	ONA
animeNumEpisode	13
releaseDate	2016-03-30 00:00:00
endDate	2016-09-08 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	12559
animeDescription	In the year 2200, a new Cold War between two forces is set to end with a peace treaty. However, one side is hiding a dark secret, which results in numerous tragedies in the following months. In the wake of a crisis, a paramilitary team is founded to steal information at the center of the conflict.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
