animeTitle	Aikatsu Stars! Movie
animeType	Movie
animeNumEpisode	1
releaseDate	2016-08-13 00:00:00
endDate	
animeNumMembers	4576
animeScore	7.38
animeUsers	1716
animeRank	2026
animePopularity	7279
animeDescription	"The film's plot is set in a southern island, where a Legendary Dress Audition is taking place. Nijino Yume and the others must find secret dresses said to be hidden somewhere in the island.

(Source: ANN)"
animeRelated	['Aikatsu Stars!', 'Aikatsu!: Nerawareta Mahou no Aikatsu! Card']
animeCharacters	['Nijino, Yume', 'Sakuraba, Rola', 'Kasumi, Yozora', 'Shiratori, Hime', 'Nanakura, Koharu', 'Kisaragi, Tsubasa', 'Kasumi, Asahi', 'Moroboshi, Hikaru']
animeVoices	['Horikoshi, Sena']
animeStaff	[['Yoshizawa, Toshikazu', 'Episode Director, Storyboard'], ['Kikuta, Kouichi', 'Key Animation'], ['Shibata, Jun', 'Key Animation'], ['Watanabe, Satomi', 'Principle Drawing']]
