animeTitle	b'Beyblade Burst Sparking'
animeType	b'ONA'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	6.51
animeUsers	987
animeRank	
animePopularity	
animeDescription	b'One year after the events of Beyblade Burst Rise, brothers Hikaru, and Hyuga witness the power of superking/sparking evolutions of Valtryek, Roktavor, and Satomb. The three beys radiate a power that was not even dreamable, due to their bladers pulling off a sparking launch. Hyuga and Hikaru get inspired to make their own sparking beys, Hyperion and Helios, and compete with the legendary bladers, training to best the top ranked bladers to ever touch the stadium.\n\nPrepared to do whatever it takes to become the best, they head across the globe to challenge the best to ever let it rip, in an effort to become stronger, and battle all of the top bladers that were able to make their mark in the stadium.\n\n(Source: Wikipedia)'
animeRelated	[b'Beyblade Burst Gachi', b'Beyblade Burst Dynamite Battle']
animeCharacters	[b'Asahi, Hikaru', b'Asahi, Hyuuga', b'Kurenai, Shuu', b'De La Hoya, Free', b'Aoi, Valt', b'Akaba, Aiga', b'Kiyama, Rantarou', b'Koryu, Drum', b'Valhalla, Lain']
animeVoices	[b'\nTomatsu, Haruka\nJapanese\n', b'\nFujiwara, Natsumi\nJapanese\n', b'\nEnoki, Junya\nJapanese\n', b'\nInoue, Marina\nJapanese\n', b'\nIkeda, Tomoko\nJapanese\n', b'\nOkabayashi, Fumihiro\nJapanese\n', b'\nHan, Megumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAkiyama, Katsuhito\n\nDirector\n\n', b'\nOh, Jin-Gu\n\nDirector\n\n', b'\nKawagoe, Kazuki\n\nStoryboard\n\n', b'\nHatori, Jun\n\nStoryboard\n\n']
