animeTitle	b'Grappler Baki (TV)'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.44
animeUsers	46264
animeRank	
animePopularity	
animeDescription	"b'Ever since he was born, Baki Hanma has always known nothing but fighting\xe2\x80\x94strengthening every single muscle and learning different techniques from various martial arts under the supervision of his mother, Emi Akezawa. He trains in order to prepare himself to face and eventually surpass his own father, Yuujirou Hanma, a man feared by the masses as the ""Ogre"" and deemed the strongest being in the world.\n\nHowever, when Baki realizes his mother\'s techniques are no longer enough, he sets out to become stronger in his own way. Seeking out powerful opponents and forming unbreakable bonds with them, he continues to grow both body and his soul, as the clock continues to tick closer toward the inevitable showdown against his father...\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Grappler Baki', b'Grappler Baki: Saidai Tournament-hen', b'Baki: Most Evil Death Row Convicts Special Anime']
animeCharacters	[b'Hanma, Baki', b'Hanma, Yuujirou', b'Hanayama, Kaoru', b'Orochi, Doppo', b'Akezawa, Emi', b'Matsumoto, Kozue', b'Gaia', b'Tokugawa, Mitsunari', b'Shinogi, Koushou', b'Yashazaru']
animeVoices	[b'\nKikuchi, Masami\nJapanese\n', b'\nNomura, Kenji\nJapanese\n', b'\nKumai, Motoko\nJapanese\n', b'\nMugihito\nJapanese\n', b'\nHino, Yurika\nJapanese\n', b'\nKojima, Sachiko\nJapanese\n', b'\nKusumi, Naomi\nJapanese\n', b'\nNakata, Kazuhiro\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nCook, Justin\n\nProducer\n\n', b'\nWatson, Barry\n\nProducer\n\n', b'\nNanba, Hitoshi\n\nDirector\n\n', b'\nTakahashi, Hideo\n\nSound Director\n\n']
