animeTitle	Aneimo
animeType	OVA
animeNumEpisode	2
releaseDate	2008-08-25 00:00:00
endDate	2008-12-25 00:00:00
animeNumMembers	
animeScore	6.92
animeUsers	5124
animeRank	
animePopularity	4828
animeDescription	Takumi lives next to Mizuki and Satsuki's house. They have been good friends since they were kids, going shopping and skiing together. One day, Kazuyoshi, Takumi's father, brings two girls, Saori and Yui, back to their house, and accepts them as new family members. At first, he is confused, but gradually becomes closer to them...
animeRelated	[]
animeCharacters	['Shirakawa, Saori', 'Kirishima, Mizuki', 'Onodera, Takumi', 'Kirishima, Satsuki', 'Shirakawa, Yui']
animeVoices	['Tanaka, Ryouko', 'Inokuchi, Yuka', 'Ookawa, Tooru', 'Nagami, Haruka', 'Nakata, Junko']
animeStaff	[['Shinonome, Kazuhiko', 'Original Character Design'], ['Boot Up!', 'Original Creator']]
