animeTitle	Kouchou-sensei to Kujira
animeType	Movie
animeNumEpisode	1
releaseDate	2007-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	1032
animeRank	
animePopularity	9462
animeDescription	"A seaside school. In the corridor stands the principal, beloved of the high-spirited youngsters. Gazing at a picture of a whale drawn as a child, the head teacher is swept away with sentiment into a flashback from the past. Just then, on the ocean horizon... 

(Source: Official site)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
