animeTitle	Tamagotchi Honto no Hanashi
animeType	Movie
animeNumEpisode	1
releaseDate	1997-07-12 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14500
animeDescription	The film contains nine skits made for the Toei Anime Fair. The Tamagotchi in this film don't speak but rather communicate via sounds similar to that of Pokémon Speak. This is unique because all the other anime adaptations of the franchise have the Tamagotchi speak Japanese.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
