animeTitle	b'Shion'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.48
animeUsers	1520
animeRank	
animePopularity	
animeDescription	b'Based on the game by Lilith Mist. '
animeRelated	[b'Shion Special']
animeCharacters	[b'Shion', b'Asaki, Hiroki', b'Misuzu, Yukiko', b'Lydia', b'Infinity', b'Geist, Slug', b'Geist, Cat']
animeVoices	[b'\nOno, Ryouko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nAwai, Shigeki\n\nDirector, Storyboard\n\n', b'\nYoshida, Tomohiro\n\nSound Director\n\n', b'\nLilith Soft\n\nOriginal Creator\n\n', b'\nIijima, Hiroya\n\nCharacter Design\n\n']
