animeTitle	b'Dokachin'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'When a time machine explodes, the primitive Dokachin family appears, causing mischief in the neighborhood. Each episode contains 2 stories. \n\n(Source: AniDB)'
animeRelated	[]
animeCharacters	[b'Dokachin']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Tatsuo\n\nProducer, Original Creator, Planning\n\n', b'\nSasagawa, Hiroshi\n\nDirector, Episode Director\n\n', b'\nToriumi, Jinzou\n\nSeries Composition, Screenplay\n\n']
