animeTitle	Fushigi Dagashiya: Zenitendou Movie - Tsuri Taiyaki
animeType	Movie
animeNumEpisode	1
releaseDate	2020-08-14 00:00:00
endDate	
animeNumMembers	515
animeScore	
animeUsers	
animeRank	15645
animePopularity	12876
animeDescription	"The movie will adapt the first volume following an eight-year-old boy Keiji getting a mysterious snack that can make him fish taiyaki (Japanese fish-shaped cake).

(Source: MAL News)"
animeRelated	['Fushigi Dagashiya: Zenitendou']
animeCharacters	['Keiji', 'Fuyuko', 'Beniko', 'Father', 'Sumimaru']
animeVoices	['Kumagai, Toshiki', 'Shiratori, Tamaki', 'Iketani, Nobue', 'Watanabe, Ikkei', 'Katayama, Fukujuurou']
animeStaff	[['Tomioka, Satoshi', 'Director'], ['Kobayashi, Yuji', 'Script'], ['Michiru', 'Music'], ['Hiroshima, Reiko', 'Original Creator']]
