animeTitle	Kuro no Danshou
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.73
animeUsers	834
animeRank	
animePopularity	8935
animeDescription	"While vacationing with his adopted daughter, Private Detective Susuki becomes trapped in a secluded ski resort with a few other vacationers after a storm closes the place down. All is well until one of the guests is found brutally murdered. Being the good investigator he is, Susuki gets to work to find the killer. While digging for the killer, Susuki uncovers a lot of dirt on the other guests and even finds out a thing or two about his own past. But, as Susuki struggles to find the killer, the other guests start to point the finger at him. 

(Source: AniDB)"
animeRelated	['Kuro no Danshou']
animeCharacters	['Suzusaki, Satoshi', 'Fuyukawa, Nozomi']
animeVoices	[]
animeStaff	[['Takayama, Hideki', 'Director'], ['Izu, Kazuhiko', 'Music']]
