animeTitle	b'Urashimasakatasen no Nichijou'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.05
animeUsers	2058
animeRank	
animePopularity	
animeDescription	b'The anime centers on the members of the real-world four-member male vocal unit Urashimasakatasen. Uratanuki, Shima, Tonari no Sakata, and Senra appear in the shorts as high school students.\n\n(Source: ANN)'
animeRelated	[b'Urashimasakatasen no Nichijou Special']
animeCharacters	[b'Urata', b'Senra', b'Sakata', b'Shima']
animeVoices	[b'\nUrata, Wataru\nJapanese\n', b'\nSenra\nJapanese\n', b'\nTonari no Sakata.\nJapanese\n', b'\nShima\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIkeuchi, Kakeru\n\nDirector, Art Director\n\n', b'\nIida, Satoki\n\nSound Director\n\n', b'\nUchida, Hiroki\n\nScript, Series Composition\n\n', b'\nUrashimasakatasen\n\nTheme Song Performance, Original Creator\n\n']
