animeTitle	Ankoku Cat
animeType	ONA
animeNumEpisode	6
releaseDate	2006-12-19 00:00:00
endDate	2008-05-13 00:00:00
animeNumMembers	2337
animeScore	5.78
animeUsers	1049
animeRank	9414
animePopularity	9018
animeDescription	"Dark Side Cat, a mysterious stray cat, dashes throughout the night city in punk clothing and plays pranks on humans he dislikes. He plays a game of cat and mouse with the city council, known as the ""Stray Cat Hunt."""
animeRelated	['Ankoku Cat VS']
animeCharacters	['Dark Side Cat', 'Kiki']
animeVoices	[]
animeStaff	[['Tsuruoka, Youta', 'Sound Director']]
