animeTitle	Kyoto Animation: Hassou-hen
animeType	Special
animeNumEpisode	1
releaseDate	2012-04-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.66
animeUsers	2078
animeRank	
animePopularity	7647
animeDescription	"While waiting in a park for someone to arrive, a certain person's mind begins to wander: in daydreams and visions, they watch parts of their surroundings transform into the one they await as they descend into these fantasies.

[Written by MAL Rewrite]"
animeRelated	['Kyoto Animation: Ajisai-hen', 'Kyoto Animation: Hoshi-hen', 'Kyoto Animation: Hana-hen', 'Kyoto Animation: Sora-hen', 'Kyoto Animation: Ikitaku Naru Omise-hen', 'Kyoto Animation: Megane-hen', 'Kyoto Animation: Kasa-hen', 'Kyoto Animation: Suiei-hen', 'Kyoto Animation: Meiji-hen', 'Kyoto Animation: Souzou-hen']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
