animeTitle	b'Gundam: G no Reconguista Movie III - Uchuu kara no Isan'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'The third film in the five-part Gundam: G no Reconguista Movie series set to be released in 2021.'
animeRelated	[b'Gundam: G no Reconguista', b'Gundam: G no Reconguista Movie II - Bellri Gekishin', b'Gundam: G no Reconguista Movie IV']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
