animeTitle	b'Hello! Sandybell'
animeType	b'TV'
animeNumEpisode	47
releaseDate	
endDate	
animeNumMembers	
animeScore	7.06
animeUsers	2474
animeRank	
animePopularity	
animeDescription	b'Sandybell is a playful girl from Scotland. She is happy even if her mum died when she was little. Past secrets begin to reveal after Sandybell gets a white lily from a rich lady. After a tragic act Sandybell moves to London where she is trying to find clues to her past.\n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'SandyBell', b'Mark', b'Tambour', b'Kentle, Ricky', b'Peterson, Alec', b'Scherer, Kitty']
animeVoices	[b'\nYamamoto, Yuriko\nJapanese\n', b'\nMatsushima, Minori\nJapanese\n', b'\nMori, Katsuji\nJapanese\n', b'\nKoyama, Mami\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nHisaishi, Joe\n\nTheme Song Performance\n\n', b'\nHorie, Mitsuko\n\nTheme Song Performance\n\n', b'\nWatanabe, Takeo\n\nTheme Song Composition, Music\n\n', b""\nKoorogi '73\n\nTheme Song Performance\n\n""]"
