animeTitle	b'Pandora Hearts Omake'
animeType	b'Special'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	7.35
animeUsers	20182
animeRank	
animePopularity	
animeDescription	b'Pandora Hearts DVD shorts.  Episode list'
animeRelated	[b'Pandora Hearts']
animeCharacters	[b'Nightray, Gilbert', b'Alice', b'Vessalius, Oz', b'Break, Xerxes', b'Nightray, Elliot', b'Vessalius, Jack', b'Nightray, Vincent', b'Will of the Abyss', b'Echo', b'Cheshire Cat']
animeVoices	[b'\nToriumi, Kousuke\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nMinagawa, Junko\nJapanese\n', b'\nIshida, Akira\nJapanese\n', b'\nNojima, Hirofumi\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nFukuyama, Jun\nJapanese\n', b'\nHirohashi, Ryou\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKajiura, Yuki\n\nMusic\n\n', b'\nMochizuki, Jun\n\nOriginal Creator\n\n', b'\nSasaki, Shirou\n\nPlanning\n\n', b'\nKobayashi, Chizuru\n\nCharacter Design\n\n']
