animeTitle	Jungle wa Itsumo Hare nochi Guu
animeType	TV
animeNumEpisode	26
releaseDate	2001-04-03 00:00:00
endDate	2001-09-25 00:00:00
animeNumMembers	
animeScore	7.83
animeUsers	12256
animeRank	
animePopularity	3233
animeDescription	"Haré was a happy boy living out his days in the jungle with his mother, but then one day Guu showed up and became a member of their household. Throughout the series he faces many hardships as he tries to keep Guu out of trouble in the jungle.

(Source: ANN)"
animeRelated	['Jungle wa Itsumo Haré Nochi Guu', 'Jungle wa Itsumo Hare nochi Guu Deluxe', 'Jungle wa Itsumo Hare nochi Guu: Eizou Tokuten - Maboroshi no Pilot Film']
animeCharacters	['Guu', 'Haré', 'Weda', 'Clive', 'Asio', 'Mari', 'Robert', 'Chourou', 'Reiji', 'Mamou, Tomoyo']
animeVoices	['Watanabe, Naoko', 'Aikawa, Rikako', 'Morota, Kaoru', 'Madono, Mitsuaki', 'Okiayu, Ryoutarou', 'Matsuoka, Yuki', 'Morikubo, Shoutarou', 'Genda, Tesshou', 'Inoue, Kazuhiko', 'Hikami, Kyouko']
animeStaff	[['Mizushima, Tsutomu', 'Director, Episode Director, Storyboard'], ['Takemoto, Yasuhiro', 'Episode Director, Script, Storyboard'], ['Yamamoto, Yutaka', 'Episode Director, Storyboard'], ['Ikehata, Takashi', 'Episode Director, Storyboard']]
