animeTitle	b'Sawai Seiyaki Kabushikigaisha CMs'
animeType	b'ONA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Sawai Pharmaceutical Co., Ltd commissioned commercials. This entry includes:\n\n""Jouhouteikyou ni Tsuite"" an informative piece about how the company information provision. \n\n""Okusuri Nomeru ka na?"" a musical video for mothers and children. It tries to help facilitate children to taking their medicine through a happy song with other animals. It was created in conjunction with tricks and psychology from the Osaka Maternal and Childcare Center as well as the Japan Acoustic Laboratory.'"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
