animeTitle	Sabaku no Kaizoku! Captain Kuppa
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13154
animeDescription	"Sometime in the future, the world was completely dried up and became all desert. They had little rivers and lakes left, which villians and dangerous animals lived. Water has become the most valueable thing on the world. Whoever can control water will rule over the world.  

(Source: ANN)"
animeRelated	[]
animeCharacters	['Yukke', 'Captain Kuppa']
animeVoices	['Kumai, Motoko']
animeStaff	[['Mashimo, Kouichi', 'Director, Series Composition'], ['Yamamoto, Hideyo', 'Episode Director'], ['Tada, Shunsuke', 'Episode Director'], ['Wakabayashi, Atsushi', 'Character Design']]
