animeTitle	Kansen: Inyoku no Rensa
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.37
animeUsers	2587
animeRank	
animePopularity	6029
animeDescription	"Extracurricular club activities are the norm for Japanese schools, but an all-night movie event scheduled at school and in August still sounds strange/unusual, especially considering the tiny size of the Movie Research Club (merely six students). And indeed, the two teachers supporting this novelty have hidden motives/objectives, although also the six students themselves chose to participate in the event for personal/secret reasons...

(Source: Forum post by Baldo)"
animeRelated	['Kansen 2: Inzai Toshi']
animeCharacters	['Katou, Yasuyuki', 'Yamagishi, Yuu', 'Saeki, Hitomi', 'Shindou, Risa', 'Takeuchi, Shinya', 'Igarashi, Tomomi']
animeVoices	['Mizushima, Takahiro', 'Inokuchi, Yuka']
animeStaff	[['Yamamoto, Toshiyuki', 'Producer'], ['Yokoyama, Hiromi', 'Director'], ['Kinohara, Hikaru', 'Character Design'], ['Hattori, Noritomo', 'Animation Director']]
