animeTitle	Toei Robot Girls
animeType	ONA
animeNumEpisode	1
releaseDate	2011-07-02 00:00:00
endDate	
animeNumMembers	
animeScore	5.31
animeUsers	805
animeRank	
animePopularity	9365
animeDescription	"A pilot film streamed on the anime studio Toei Animation's website. The female leads in the film are dressed as various famous robots in Toei's anime catalog—the girls are personifications of robots in the Gaiking (""Gai-chan""), Magnerobo Ga-Keen (""Gacky""), and Superhuman Combat Team Baratack (""Bara-tan"") and the newly added character is from the anime Planet Robot Danguard Ace.

(Source: ANN)"
animeRelated	['Gaiking: Legend of Daiku-Maryu', 'Wakusei Robo Danguard Ace', 'Magnerobo Ga-Keen', 'Choujin Sentai Baratack', 'Robot Girls Z', 'Robot Girls Neo']
animeCharacters	['Danguard A', 'Baratack', 'Gakeen', 'Gaiking']
animeVoices	['Kitaoka, Chiharu', 'Tsuji, Ayumi', 'Satou, Satomi', 'Takaoka, Kaori']
animeStaff	[['Moriyama, Yoshihide', 'Producer'], ['Ikehata, Hiroshi', 'Director, Episode Director, Storyboard'], ['Amemiya, Akira', 'Key Animation'], ['Kawakami, Tetsuya', 'Animation Director, Character Design']]
