animeTitle	Eden's Bowy
animeType	TV
animeNumEpisode	26
releaseDate	1999-04-06 00:00:00
endDate	1999-09-24 00:00:00
animeNumMembers	
animeScore	6.49
animeUsers	2032
animeRank	
animePopularity	6538
animeDescription	Yorn gazes up at two massive cities floating in the sky and dreams of discovering their mysteries. Without warning, those mysteries come looking for him. Edenic assassins murder his father and Yorn is next on the hit list. A nameless old man and a mysterious young girl help Yorn on his quest to find his long-lost mother and the truth. Known as the God Hunter, Yorn leads a race against the dark designs of the technological overlords.
animeRelated	"[""Eden's Bowy""]"
animeCharacters	['Yorn', 'Dyne, Ulgar', 'Elisiss', 'Parella', 'Enefeaa', 'Persia, Konyako']
animeVoices	['Yamaguchi, Kappei', 'Sugawara, Masashi', 'Shiina, Hekiru', 'Igarashi, Rei', 'Kuriyama, Chiaki']
animeStaff	[['Yoshida, Shunji', 'Director, Episode Director'], ['Terahigashi, Katsumi', 'Storyboard'], ['Tsukasa, Sunaga', 'Storyboard, Chief Animation Director'], ['Yoshinaga, Naoyuki', 'Storyboard']]
