animeTitle	Psychedelic Afternoon
animeType	Music
animeNumEpisode	1
releaseDate	2013-03-06 00:00:00
endDate	
animeNumMembers	
animeScore	5.16
animeUsers	628
animeRank	
animePopularity	10916
animeDescription	"Seiji is tormented by horrible tsunami-flashback dreams, but one night he wakes up and his beloved grandfather has appeared. With a strum of his grandfather’s guitar, Seiji is transported to a colorful, slightly strange, psychedelic world and finally manages to have a good dream.

(Source: Zapuni.com)"
animeRelated	['Blossom', 'By Your Side']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
