animeTitle	Megami Kouhosei Special Curriculum
animeType	OVA
animeNumEpisode	1
releaseDate	2002-05-25 00:00:00
endDate	
animeNumMembers	4423
animeScore	6.28
animeUsers	2114
animeRank	7285
animePopularity	7359
animeDescription	"A retelling of the TV series from the point of view of one of the Goddess Pilots.

(Source: ANN)"
animeRelated	['Megami Kouhosei']
animeCharacters	['Enna, Rei', 'Towryk, Kizna', 'Elidd, Gareas', 'Gner, Hiead', 'Cuore, Ernest', 'Allecto, Ikhny', 'Fujimura, Leena', 'Croford, Dr. Rill', 'Mimori, Saki', 'Deed, Philphleora']
animeVoices	['Obi, Yukimasa', 'Nagasawa, Miki', 'Takagi, Wataru', 'Chiba, Susumu', 'Kashiwakura, Tsutomu', 'Kugimiya, Rie', 'Kakazu, Yumi', 'Koyama, Mami', 'Hanba, Tomoe']
animeStaff	[['Mima, Masafumi', 'Sound Director'], ['Sugisaki, Yukiru', 'Original Creator'], ['Koyama, Toshihisa', 'Art Director']]
