animeTitle	Inazuma Eleven: Chou Jigen Dream Match
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.92
animeUsers	4506
animeRank	
animePopularity	5604
animeDescription	A new movie featuring a match between fan-voted members of the Inazuma Best Eleven team and the special Battle Eleven team.
animeRelated	['Inazuma Eleven']
animeCharacters	['Endou, Mamoru', 'Kiyama, Hiroto', 'Matsukaze, Tenma', 'Hakuryuu', 'Gouenji, Shuuya', 'Kidou, Yuuto', 'Afuro, Terumi', 'Kazemaru, Ichirouta', 'Saginuma, Osamu', 'Matatagi, Hayato']
animeVoices	[]
animeStaff	[['Kamakura, Yumi', 'Storyboard'], ['Yuuki, Aoi', 'Theme Song Performance'], ['T-Pistonz+KMC', 'Theme Song Performance'], ['Mina', 'Theme Song Performance']]
