animeTitle	b'Osamu to Musashi'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.13
animeUsers	136
animeRank	
animePopularity	
animeDescription	"b'The animation was produced for the Tezuka Osamu Manga Museum, thus it features scenes from the ""life and nature"" of Tezuka Osamu\'s childhood, themes that are central to the museum as a whole, through exchanges between the boy Osamu and the carabid beetle (Osamushi) who provided the origin for the artist\'s name.\n\n(Source: tezukaosamu.net)'"
animeRelated	[]
animeCharacters	[b'Tezuka, Osamu']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nRintaro\n\nDirector\n\n', b'\nHirata, Toshio\n\nStoryboard\n\n', b'\nSugino, Akio\n\nAnimation Director, Character Design\n\n', b'\nTomita, Isao\n\nMusic\n\n']
