animeTitle	Seto no Hanayome OVA
animeType	OVA
animeNumEpisode	2
releaseDate	2008-11-03 00:00:00
endDate	2009-01-05 00:00:00
animeNumMembers	
animeScore	7.85
animeUsers	26272
animeRank	
animePopularity	2524
animeDescription	"The Seto no Hanayome OVAs are new stand alone shorts with characters from the series and also two new ones. It is now the third year of school, San and Luna's dads are still being over protective. All the while Nagasumi has his hands full trying to keep everyone around him under control and rescuing damsels in distress. 

(Source: ANN)"
animeRelated	['Seto no Hanayome', 'Seto no Hanayome OVA Specials']
animeCharacters	['Seto, Sun', 'Michishio, Nagasumi', 'Edomae, Lunar', 'Masa', 'Shark, Fujishiro', 'Seto, Gouzaburou', 'Sarutobi, Hideyoshi', 'Shiranui, Akeno', 'Edomae', 'Maki']
animeVoices	['Momoi, Haruko', 'Mizushima, Takahiro', 'Nogawa, Sakura', 'Murase, Katsuki', 'Koyasu, Takehito', 'Yabe, Masahito', 'Kitamura, Eri', 'Genda, Tesshou', 'Kuwatani, Natsuko']
animeStaff	[['Kishi, Seiji', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Uezu, Makoto', 'Script, Screenplay, Series Composition'], ['Kitamura, Eri', 'Theme Song Performance']]
