animeTitle	Senyuu. Specials
animeType	Special
animeNumEpisode	4
releaseDate	2013-04-24 00:00:00
endDate	2013-11-22 00:00:00
animeNumMembers	
animeScore	7.04
animeUsers	8761
animeRank	
animePopularity	4316
animeDescription	"Unaired episodes of Senyuu. released with BD/DVD volumes.

1. Yuusha, Nagurareru. / Nise Panda no Seitai (Vol. 1)
2. Shitsujichou no Tabi Sono 1 (Vol. 2)
3. Shitsujichou no Tabi Sono 2 (Vol. 3)
4. Gakuen Senyuu.: Seishun Monogatari (Vol. 4)"
animeRelated	['Senyuu.']
animeCharacters	['Ross', 'Frühling, Alba', 'Diabolos, Teufel', 'Ruki', 'Nisepanda', 'Ein, Januar', 'Samejima', 'Ares', 'Foyfoy', 'Haruhara, Robinson']
animeVoices	['Nakamura, Yuuichi', 'Shimono, Hiro', 'Kamiya, Hiroshi', 'Kayano, Ai', 'Sakurai, Takahiro', 'Sugita, Tomokazu', 'Uchiyama, Yumi', 'Suzumura, Kenichi', 'Haruhara, Robinson']
animeStaff	[['Ezaki, Shinpei', 'Episode Director, Storyboard'], ['Haruhara, Robinson', 'Original Creator'], ['Tazawa, Ushio', 'Character Design']]
