animeTitle	Shinsatsushitsu
animeType	Movie
animeNumEpisode	1
releaseDate	2005-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	4.49
animeUsers	807
animeRank	
animePopularity	10101
animeDescription	"In Kei Oyama's grim Consultation Room, a medical diagnosis triggers a wave of traumatic fantasies, portrayed in greyish pencil drawings that waver as if left out for too long in the rain.

(Source: Sydney Morning Herald)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
