animeTitle	Soushunfu
animeType	Music
animeNumEpisode	1
releaseDate	1979-02-07 00:00:00
endDate	
animeNumMembers	85
animeScore	
animeUsers	
animeRank	13534
animePopularity	17956
animeDescription	Music video for Shonan Chor Grün's performance of Soushunfu that was featured on NHK's Minna no Uta program. The song was originally written and composed in 1913 by Kazumasa Yoshimaru and Akira Nakata respectively. The video was animated by Seiichi Hayashi.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
