animeTitle	b'Delpower X Bakuhatsu Miracle Genki!'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.42
animeUsers	563
animeRank	
animePopularity	
animeDescription	"b""Manami is your typical schoolgirl, despite the odd machines her grandfather is always building. One day, though, an odd evil robot comes to attack Minami's school, and commits the ultimate offense of threatening her friends... and ruining her lunch. Now, she will stop at nothing to return order to the world in her grandpa's newest creation: the mecha Del Power X."""
animeRelated	[]
animeCharacters	[b'Getsueru, Von', b'Manami, Hanegi', b'Secto, Charlie', b'Willis, Suzi', b'Miyamoto, Yousuke', b'Yanami, Tatsuemoin', b'Horie', b'Jagger, Nick', b'McLaren, Laura']
animeVoices	[b'\nAono, Takeshi\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nShiozawa, Kaneto\nJapanese\n', b'\nEmori, Hiroko\nJapanese\n', b'\nYanami, Jouji\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nGinga, Banjou\nJapanese\n', b'\nMurata, Hiromi\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nSatou, Masato\n\nDirector\n\n', b'\nHorie, Mitsuko\n\nTheme Song Performance\n\n', b""\nKoorogi '73\n\nTheme Song Performance, Inserted Song Performance\n\n"", b'\nTakada, Hiroshi\n\nTheme Song Arrangement\n\n']"
