animeTitle	b'Duel Masters Cross Shock'
animeType	b'TV'
animeNumEpisode	50
releaseDate	
endDate	
animeNumMembers	
animeScore	6.15
animeUsers	597
animeRank	
animePopularity	
animeDescription	b'Shobu and friends continue to face the members of Fua Duelist in the world championship and defeat them all.\n\nAnd now Shobu is the world champion. Before Shobu could relax he is being called into the creature world to face Diabolos Zeta, Temporal Ruler, who is about to bring annihilation. Shobu and friends gather the new legendary cards and stop him with their new powers of these cards.\n\n(Source: Duel Masters Wikia)'
animeRelated	[b'Duel Masters Victory', b'Duel Masters Cross']
animeCharacters	[b'Kirifuda, Shoubu', b'Kokujou, Kyoushirou', b'Tasogare, Mimi', b'Hakuou', b'Kadoko, Rekuta']
animeVoices	[b'\nKobayashi, Yumiko\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nNakajima, Saki\nJapanese\n', b'\nMinagawa, Junko\nJapanese\n', b'\nImai, Yuka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYamada, Chiaki\n\nSound Director\n\n', b'\neverset\n\nTheme Song Performance\n\n', b'\nWatanabe, Keito\n\nArt Director\n\n']
