animeTitle	b'Gegege no Kitarou (2018)'
animeType	b'TV'
animeNumEpisode	97
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	4551
animeRank	
animePopularity	
animeDescription	b'Nearly twenty years into the 21st century, people have forgotten the existence of youkai. When a number of unexplainable phenomena plague adults of the human world with confusion and chaos, thirteen-year-old Mana writes a letter to the Youkai Post in search of answers, only to be greeted by Gegege no Kitarou...\n\n(Source: Crunchyroll)'
animeRelated	"[b'GeGeGe no Kitarou', b'Gegege no Kitarou (2007)', b'Hakaba Kitarou', b'Gegege no Kitarou (1968)', b'Gegege no Kitarou (1971)', b'Gegege no Kitarou (1985)', b'Gegege no Kitarou (1996)', b""Medama Oyaji no April Fools'"", b'Kitarou Tanjou: Gegege no Nazo', b'Gegege no Kitarou: Tamashii to Art']"
animeCharacters	[b'Kitarou', b'Medama Oyaji', b'Inuyama, Mana', b'Neko Musume', b'Nezumi Otoko', b'Agnes', b'Tamamo-no-Mae', b'Backbeard', b'Hanako-san', b'Ittan Momen']
animeVoices	[b'\nSawashiro, Miyuki\nJapanese\n', b'\nNozawa, Masako\nJapanese\n', b'\nFujii, Yukiyo\nJapanese\n', b'\nShouji, Umeka\nJapanese\n', b'\nFurukawa, Toshio\nJapanese\n', b'\nYamamura, Hibiku\nJapanese\n', b'\nTanaka, Atsuko\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nSakura, Ayane\nJapanese\n', b'\nYamaguchi, Kappei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOgawa, Kouji\n\nDirector\n\n', b'\nNoshitani, Mitsutaka\n\nEpisode Director, Storyboard\n\n', b'\nChioka, Kimitoshi\n\nEpisode Director, Storyboard\n\n', b'\nMitsuka, Masato\n\nEpisode Director, Storyboard\n\n']
