animeTitle	Gyakuten Saiban 6 Prologue
animeType	ONA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.56
animeUsers	1695
animeRank	
animePopularity	7469
animeDescription	"The country of Khura'in doesn't have attorneys. Instead, the outcome of trials are decided by the oracles.

Meanwhile, in Japan, Naruhodo Ryuichi receives a disturbing call from his old friend, Mayoi Ayasato, who is currently training in Kurain."
animeRelated	"['Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!']"
animeCharacters	['Naruhodou, Ryuuichi', 'Ayasato, Mayoi', 'Odoroki, Housuke', 'Yuugami, Jin', 'Kokone, Kizuki', 'Kurain, Leifa Padma', 'Sadmadhi, Nayuta', 'Tsuani, Bokuto']
animeVoices	['Kondou, Takayuki', 'Hanamura, Satomi', 'KENN', 'Sakuya, Shunsuke', 'Han, Megumi', 'Hayami, Saori', 'Namikawa, Daisuke', 'Katou, Emiri']
animeStaff	[['Capcom', 'Original Creator']]
