animeTitle	SNS Police
animeType	ONA
animeNumEpisode	24
releaseDate	2018-03-24 00:00:00
endDate	2018-05-21 00:00:00
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	13761
animeDescription	"The story centers around the titular SNS Police (Social Network Service Police), who protect the peace in social media sites like Twitter and Facebook and deal harsh justice to those who violate it. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
