animeTitle	b'Zoids Shinseiki/Zero'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.32
animeUsers	14115
animeRank	
animePopularity	
animeDescription	b'Zoids\xe2\x80\x94powerful animal-shaped combat mechs\xe2\x80\x94are no longer used in warfare, but in organized sporting competitions. The Blitz Team, a group of pilots struggling to carve out a niche for themselves in the Zoid battling leagues, experience a stroke of luck when Bit Cloud, a vagrant junk dealer, wanders into their midst and proves himself capable of piloting the temperamental Liger Zero, a Zoid that refuses to let anyone else into its cockpit. Led by Bit and the Liger, the Blitz Team steadily make their way to the top\xe2\x80\x94but along the way they attract the unwelcome attention of the Backdraft Group, an organization of Zoid pilots that operates outside the laws set down by the Zoid Battle Commission. The Backdraft want powerful Zoids to add to their ranks, and they have their eye on the Liger Zero...'
animeRelated	[b'Zoids Shinseiki/Zero', b'Zoids Genesis', b'Zoids', b'Zoids Fuzors', b'Zoids Wild']
animeCharacters	[b'Cloud, Bit', b'Hunter, Brad', b'Toros, Leena', b'Hemeros, Jamie', b'Toros, Steve', b'Fluegel, Naomi', b'Champ, Harry', b'Cisco, Jack', b'Leyon', b'Obscura, Vega']
animeVoices	[b'\nSakurai, Takahiro\nJapanese\n', b'\nMatsukaze, Masaya\nJapanese\n', b'\nKawasumi, Ayako\nJapanese\n', b'\nSaiga, Mitsuki\nJapanese\n', b'\nNakamura, Daiki\nJapanese\n', b'\nNatsuki, Rio\nJapanese\n', b'\nTakagi, Wataru\nJapanese\n', b'\nFujiwara, Keiji\nJapanese\n', b'\nKumai, Motoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKato, Takao\n\nDirector\n\n', b'\nAketagawa, Jin\n\nSound Director\n\n', b'\nOotsuki, Atsushi\n\nEpisode Director, Storyboard\n\n', b'\nHasegawa, Keiichi\n\nScript\n\n']
