animeTitle	Tales of Phantasia The Animation
animeType	OVA
animeNumEpisode	4
releaseDate	2004-11-25 00:00:00
endDate	2006-02-24 00:00:00
animeNumMembers	
animeScore	6.8
animeUsers	9837
animeRank	
animePopularity	3889
animeDescription	"Tragedy strikes the lives of Cless Alvein, a young swordsman, and Chester Barklight, a young archer, as they return to their village of Totus to find it razed to the ground by the mysterious Black Knight. To take over the world, the Black Knight seeks to claim the power of the Demon King, Dhaos—sealed away by the ancestors of Cless and a young cleric named Mint Adnade. Dhaos's reawakening signals not only the end of the Black Knight, but potentially the world. Cless and Mint must now journey a century into the past to rally allies capable of vanquishing the Demon King for once and for all.

Tales of Phantasia The Animation follows Cless and Mint's journey through time to long ago, where they forge an alliance with the half-elf sorceress Arche Klaine and the summoner Klarth F. Lester. Together, they strive to defeat Dhaos and his army in saving the past as well as the years to come."
animeRelated	['Tales of Phantasia', 'Tales Of Crestoria Off Shot Movie']
animeCharacters	['Klaine, Arche', 'Alvein, Cless', 'Lester, Klarth F.', 'Barklight, Chester', 'Adnade, Mint', 'Dhaos', 'Fujibayashi, Suzu', 'Martel', 'Sylph']
animeVoices	['Kanai, Mika', 'Kusao, Takeshi', 'Inoue, Kazuhiko', 'Itou, Kentarou', 'Iwao, Junko', 'Morikawa, Toshiyuki', 'Kawata, Taeko', 'Tanaka, Rie', 'Nakajima, Yumiko']
animeStaff	[['Hiramitsu, Takuya', 'Sound Director'], ['Suzuki, Masami', 'Theme Song Performance'], ['Seitz, Patrick', 'ADR Director'], ['Fujishima, Kousuke', 'Character Design']]
