animeTitle	b'Ling Qi 2'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.5
animeUsers	13995
animeRank	
animePopularity	
animeDescription	b'In this new season, we will discover the backstory of Tanmoki and who will learn through his memories who was his ancestor Rakugetsu.\n\n(Source: ANN)'
animeRelated	[b'Ling Qi']
animeCharacters	[b'Yang, Jinghua', b'Duanmu, Xi', b'Shenlong, Zhangxuan', b'Yinzhe', b'Duanmu, Luoyue', b'Yang, Ning', b'Qin, Shiyao', b'Shenlong, Xiren', b'Yin, Huayu', b'Duanmu, Siyun']
animeVoices	[b'\nIguchi, Yuuichi\nJapanese\n', b'\nTakeuchi, Shunsuke\nJapanese\n', b'\nSatou, Takuya\nJapanese\n', b'\nSugiyama, Noriaki\nJapanese\n', b'\nTakeuchi, Ken\nJapanese\n', b'\nKawada, Shinji\nJapanese\n', b'\nOokubo, Rumi\nJapanese\n', b'\nChiba, Susumu\nJapanese\n', b'\nSorami, Yuki\nJapanese\n', b'\nNabatame, Hitomi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nLi, Haoling\n\nDirector\n\n']
