animeTitle	Kushimitama Samurai
animeType	Special
animeNumEpisode	1
releaseDate	2014-11-14 00:00:00
endDate	
animeNumMembers	296
animeScore	
animeUsers	
animeRank	16961
animePopularity	14642
animeDescription	"The blind samurai Haku can perceive that which cannot be seen by the eye. But he does not try to see the world that the eye can see. 'This world is the full of darkness' Attacked by thief in the dead of night, he lost both his parents and his sight. From that day on his faith in the world was gone. 

(Source: IMDb)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
