animeTitle	Hipira-kun Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	233
animeRank	
animePopularity	12437
animeDescription	Last episode of Hipira-kun bundled with the DVD/Blu-ray release.
animeRelated	['Hipira: The Little Vampire', 'Hipira-kun ONA']
animeCharacters	['Soul-kun', 'Hipira']
animeVoices	['Ohara, Sayaka', 'Kobayashi, Yumiko']
animeStaff	[['Otomo, Katsuhiro', 'Original Creator'], ['Kimura, Shinji', 'Original Character Design']]
