animeTitle	b'Hitozuma Ryoujoku Sankanbi'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	1804
animeRank	
animePopularity	
animeDescription	b'Three wives are required to attend a parent/teacher conference because their children were in trouble at school. When they get to the school, they are welcomed by two men, who tell them that the school is closed. The men then lead them to an old abandoned school and decide to punish them in place of their children. \n\n(Source: ANN)'
animeRelated	[]
animeCharacters	[b'Sakamoto, Naomi ', b'Mikami, Kumiko']
animeVoices	[b'\nHyo-sei\nJapanese\n', b'\nTakahashi, Chiaki\nJapanese\n']
animeStaff	[]
