animeTitle	Danganronpa 3: Monokuma Gekijou
animeType	Special
animeNumEpisode	3
releaseDate	2016-10-27 00:00:00
endDate	2016-12-21 00:00:00
animeNumMembers	23001
animeScore	7.02
animeUsers	6746
animeRank	3703
animePopularity	3764
animeDescription	Danganronpa 3 skits included in the Blu-ray Box Sets.
animeRelated	['Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen']
animeCharacters	['Komaeda, Nagito', 'Monokuma', 'Sakakura, Juuzou', 'Monomi', 'Andou, Ruruka', 'Kamukura, Izuru', 'Kimura, Seiko', 'Nidai, Nekomaru', 'Izayoi, Sounosuke', 'Ultimate Imposter']
animeVoices	['Ogata, Megumi', 'Tarako', 'Minase, Inori']
animeStaff	[]
