animeTitle	Fantasy Bishoujo Juniku Ojisan to
animeType	TV
animeNumEpisode	Unknown
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	9198
animeDescription	"A dull old man and his handsome best friend were summoned to another world by a naked goddess! However, because of the goddess's mischief, he has turned into a peerless beautiful girl?! To get back his body, he has to go on a journey with his best friend to defeat the demon king!! ""An old man that became a beautiful girl"" and ""A handsome old man""! Let the madness-filled, rom-com journey in another world begin!! 

(Source: MU, edited)"
animeRelated	['Fantasy Bishoujo Juniku Ojisan to']
animeCharacters	['Tachibana, Hinata', 'Jinguuji, Tsukasa', 'Narrator', 'Lou, Tilolilo Lilili', 'Goddess of Love and Beauty']
animeVoices	['Ichimichi, Mao', 'Hino, Satoshi', 'Ebara, Masashi', 'Fujii, Yukiyo', 'Kugimiya, Rie']
animeStaff	[['Yamai, Sayaka', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Tsurusaki, Yuu', 'Original Creator'], ['Takeuchi, Toshimitsu', 'Series Composition']]
