animeTitle	Kayoe! Chuugaku
animeType	TV
animeNumEpisode	425
releaseDate	2011-06-06 00:00:00
endDate	2014-03-28 00:00:00
animeNumMembers	422
animeScore	
animeUsers	
animeRank	16642
animePopularity	13435
animeDescription	Wada transfers from the Kansai region to the Toukai region in middle school. The story follows his new set of friends as their fivesome enjoy their everyday lives. All the characters' are names are based on Chunichi Dragons baseball team which is located in the Toukai region.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
