animeTitle	Rokudenashi Blues 1993
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.21
animeUsers	159
animeRank	
animePopularity	11264
animeDescription	Sequel to the Rokudenashi Blues movie.
animeRelated	['Rokudenashi Blues']
animeCharacters	['Maeda, Taison', 'Hatanaka, Yuutarou', 'Imai, Kazumi', 'Nanase, Chiaki', 'Yamashita, Katsuji', 'Sawamura, Yoneji']
animeVoices	['Hirata, Hiroaki']
animeStaff	[['Kakudou, Hiroyuki', 'Director'], ['Yukimuro, Shunichi', 'Script'], ['Morita, Masanori', 'Original Creator'], ['Suda, Masami', 'Character Design, Animation Director']]
