animeTitle	Haikyuu!! Quest Picture Drama
animeType	OVA
animeNumEpisode	3
releaseDate	2014-09-25 00:00:00
endDate	
animeNumMembers	
animeScore	6.63
animeUsers	5211
animeRank	
animePopularity	4246
animeDescription	Picture Drama episodes from the special contents DVD bundled with the Haikyuu!! 3DS game.
animeRelated	['Haikyuu!!']
animeCharacters	['Hinata, Shouyou', 'Kageyama, Tobio', 'Oikawa, Tooru', 'Kozume, Kenma', 'Iwaizumi, Hajime', 'Aone, Takanobu']
animeVoices	['Murase, Ayumu', 'Ishikawa, Kaito', 'Namikawa, Daisuke', 'Kaji, Yuki', 'Yoshino, Hiroyuki', 'Matsukawa, Hiroki']
animeStaff	[['Furudate, Haruichi', 'Original Creator'], ['Kishida, Takahiro', 'Character Design']]
