animeTitle	Choujuushin Gravion Zwei
animeType	TV
animeNumEpisode	12
releaseDate	2004-01-08 00:00:00
endDate	2004-03-25 00:00:00
animeNumMembers	
animeScore	6.64
animeUsers	3225
animeRank	
animePopularity	5810
animeDescription	"After Gravion was able to use its ultimate attack, the Zeravire threat seemed to have temporary stopped. However when it rises back up all of a sudden, the Earth Gult and its trump card, the super robot Gravion, is needed to defend this world again. All this while, the EFA is planning to create their own weapons to counter the Zeravire, the Grand Trooper. Now as they attempt to fend off the Zeravire, the people of the Earth Gult and EFA must protect their future as well as confront their pasts, and unveil the mysteries of the Zeravire.

(Source: ANN)"
animeRelated	['Choujuushin Gravion Zwei', 'Choujuushin Gravion']
animeCharacters	['Sandman, Klein', 'Tachibana, Mizuki', 'Leele', 'Shigure, Eiji', 'Gusuku, Luna', 'Tenkuji, Toga', 'Eina', 'Marinia', 'Xin Lu, Faye', 'Tesera']
animeVoices	['Hayami, Show', 'Asakawa, Yuu', 'Kuwashima, Houko', 'Suzumura, Kenichi', 'Ikezawa, Haruna', 'Fukuyama, Jun', 'Mizuki, Nana', 'Chiba, Saeko', 'Uchikawa, Ai']
animeStaff	[['Oobari, Masami', 'Director, Episode Director, Storyboard, Key Animation, Original Creator'], ['Tsuruoka, Youta', 'Sound Director'], ['Saitou, Yoshinari', 'Episode Director'], ['Hosono, Yuuji', 'Script']]
