animeTitle	Boku wa Mou Inai
animeType	Music
animeNumEpisode	1
releaseDate	2019-01-08 00:00:00
endDate	
animeNumMembers	270
animeScore	5.68
animeUsers	147
animeRank	9805
animePopularity	14960
animeDescription	"Official music video for Boku no Lyric no Bouyomi's song Boku wa Mou Inai. It is a fusion of live-action, animation, and motion graphics. It was made in honor of their 4th album ""Botsuraku"" going on sale a month prior."
animeRelated	['Botsuraku', 'Asayake to Nettaigyo']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
