animeTitle	b'Eightman After'
animeType	b'OVA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.17
animeUsers	1548
animeRank	
animePopularity	
animeDescription	"b""Private detective Hazama Itsuru is hired by Professor Tani to investigate a cyborg parts theft which eventually leads him to meet Sachiko Yokogawa, the original 8 Man's love interest. Living her new life working for the Biotecho Corp., Sachiko finds herself involved with a new 8 Man, who appears after Hazama is fatally wounded by an unknow cyborg. Amidst a violent urban background with cyber-junkies creating chaos around the city, this other 8 Man will fight criminals in a more agressive way. """
animeRelated	[b'8 Man', b'Eightman']
animeCharacters	"[b'Itsuro, Hazama', b'Yokogawa, Sachiko', b'Chief Tanaka', b'Mayor White', b'Max', b'Chen', b'Gleck, Tony', b'Schmidt, Eddie ', b""O'Conner, Sam"", b'Professor Tani']"
animeVoices	[b'\nKosugi, Juurouta\nJapanese\n', b'\nDoi, Mika\nJapanese\n', b'\nIkeda, Masaru\nJapanese\n', b'\nNakahara, Shigeru\nJapanese\n', b'\nFutamata, Issei\nJapanese\n', b'\nTobita, Nobuo\nJapanese\n', b'\nYamada, Eiko\nJapanese\n', b'\nYamada, Keaton\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMacek, Carl\n\nProducer, Director\n\n', b'\nKogawa, Yoriyasu\n\nDirector, Storyboard\n\n', b'\nHirano, Yasushi\n\nScript\n\n', b'\nKuwata, Jirou\n\nOriginal Creator\n\n']
