animeTitle	BanG Dream! Garupa☆Pico: Oomori
animeType	ONA
animeNumEpisode	26
releaseDate	2020-05-07 00:00:00
endDate	2020-10-29 00:00:00
animeNumMembers	
animeScore	7.74
animeUsers	3767
animeRank	
animePopularity	5819
animeDescription	The second season of the mini series starring the girls of BanG Dream!
animeRelated	['BanG Dream! Garupa☆Pico Comic Anthology', 'BanG Dream!', 'BanG Dream! Garupa☆Pico', 'BanG Dream! Garupa☆Pico Fever!']
animeCharacters	['Minato, Yukina', 'Aoba, Moca', 'Tsurumaki, Kokoro', 'Ichigaya, Arisa', 'Toyama, Kasumi', 'Imai, Lisa', 'Hikawa, Sayo', 'Mitake, Ran', 'Seta, Kaoru', 'Shirokane, Rinko']
animeVoices	['Aiba, Aina', 'Misawa, Sachika', 'Itou, Miku', 'Itou, Ayasa', 'Terakawa, Aimi', 'Nakashima, Yuki', 'Kudou, Haruka', 'Sakura, Ayane', 'Tadokoro, Azusa', 'Shizaki, Kanon']
animeStaff	[['Kidani, Takaaki', 'Executive Producer']]
