animeTitle	Shizuku
animeType	Movie
animeNumEpisode	1
releaseDate	1965-10-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.66
animeUsers	1346
animeRank	
animePopularity	8983
animeDescription	"A man trapped on a raft in the middle of the ocean is in desperate need of water. Luckily for him, a few drops of rain water are about to fall from the raft's mast. Comedy ensues as the thirsty man attempts to drink the few small drops of water. 

(Source: ANN)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
