animeTitle	b'Dive!!'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	14233
animeRank	
animePopularity	
animeDescription	"b""The series revolves around the Mizuki Diving Club (MDC), which is on the verge of closing down after having financial troubles. The club's new coach persuades the club's parent company to stay open on one condition: that the club sends one of its members to next year's Olympics as part of Japan's Olympic team.\n\n(Source: ANN)"""
animeRelated	[b'Dive!!']
animeCharacters	[b'Sakai, Tomoki', b'Fujitani, Youichi', b'Okitsu, Shibuki', b'Maruyama, Reiji', b'American Man', b'Toshihiko, Tsuji', b'Asaki, Kayoko', b'Sakai, Hiroya', b'Okitsu, Minami', b'Okitsu, Misaki']
animeVoices	[b'\nKaji, Yuki\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nNakamura, Yuuichi\nJapanese\n', b'\nUchiyama, Kouki\nJapanese\n', b'\nKomada, Wataru\nJapanese\n', b'\nAoi, Shouta\nJapanese\n', b'\nNazuka, Kaori\nJapanese\n', b'\nKimura, Ryouhei\nJapanese\n', b'\nOgasawara, Saki\nJapanese\n', b'\nMikami, Yurie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Makoto\n\nProducer\n\n', b'\nSuzuki, Kaoru\n\nDirector\n\n', b'\nIwanami, Yoshikazu\n\nSound Director\n\n', b'\nUtsunomiya, Masamitsu\n\nEpisode Director, Editing\n\n']
