animeTitle	Are wa Dare?
animeType	Movie
animeNumEpisode	1
releaseDate	1976-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.5
animeUsers	120
animeRank	
animePopularity	14234
animeDescription	"A series of ten short stories featuring anthropomorphic animals animated with yarn by Tadanari Okamoto, and music by Yasuo Higuchi.  ""Looking at the mischiefs and soldiers in the story, the kids themselves can be kind, kind, beauty, miserable, I hope to discover something, I created it with such a wish."""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
