animeTitle	Fire Me Up
animeType	Music
animeNumEpisode	1
releaseDate	2019-02-06 00:00:00
endDate	
animeNumMembers	610
animeScore	5.39
animeUsers	347
animeRank	10703
animePopularity	12482
animeDescription	Official music video for the song Fire Me Up by the fictional band Irodorimidori. It is the 36th song in the franchise and focuses on Nazuna Tennozu and Aliciana Ogata.
animeRelated	['Light Speed Days', 'Sayonara Freeway']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
