animeTitle	Clover
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.78
animeUsers	6187
animeRank	
animePopularity	4901
animeDescription	Suu is a Four Leaf Clover. Her power is unrivaled, yet all she has known her whole life is loneliness. One day, a man named Kazuhiko appears and accompanies Suu for her first and last journey, to the place where she can find happiness.
animeRelated	['Clover']
animeCharacters	['Suu', 'Kazuhiko, Fay Ryu', 'Lan', 'Gingetsu', 'Ko']
animeVoices	['Sakamoto, Maaya', 'Taniyama, Kishou']
animeStaff	[['CLAMP', 'Original Creator'], ['Yuuki, Nobuteru', 'Animation Director, Character Design'], ['Hashimoto, Ichiko', 'Music'], ['Watanabe, Shigeru', 'Planning']]
